"id","In","Sensor","Pin","Fecha","Hora","Comentario"
"2323,""InAn"",""29.3"",""19"",""2024-02-24"",""03:46:45"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2324,""InAn"",""29.2"",""19"",""2024-02-24"",""04:16:54"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2325,""InAn"",""77.0"",""19"",""2024-02-24"",""04:18:09"",""Alert activated  Humedad { Sensor Value: 77.0 idpinout: 21 idpino: 19 }"""
"2326,""InAn"",""29.1"",""19"",""2024-02-24"",""04:47:03"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2327,""InAn"",""77.4"",""19"",""2024-02-24"",""04:48:18"",""Alert activated  Humedad { Sensor Value: 77.4000015258789 idpinout: 21 idpino: 19 }"""
"2328,""InAn"",""29.0"",""19"",""2024-02-24"",""05:17:17"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2329,""InAn"",""77.2"",""19"",""2024-02-24"",""05:18:25"",""Alert activated  Humedad { Sensor Value: 77.19999694824219 idpinout: 21 idpino: 19 }"""
"2330,""InAn"",""28.7"",""19"",""2024-02-24"",""05:47:28"",""Alert activated Temperatura { Sensor Value: 28.700000762939453 idpinout: 20 idpino: 19 }"""
"2331,""InAn"",""78.4"",""19"",""2024-02-24"",""05:48:37"",""Alert activated  Humedad { Sensor Value: 78.4000015258789 idpinout: 21 idpino: 19 }"""
"2332,""InAn"",""29.1"",""19"",""2024-02-24"",""06:17:39"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2333,""InAn"",""80.0"",""19"",""2024-02-24"",""06:19:20"",""Alert activated  Humedad { Sensor Value: 80.0 idpinout: 21 idpino: 19 }"""
"2334,""InAn"",""28.6"",""19"",""2024-02-24"",""06:47:44"",""Alert activated Temperatura { Sensor Value: 28.600000381469727 idpinout: 20 idpino: 19 }"""
"2335,""InAn"",""78.8"",""19"",""2024-02-24"",""06:49:32"",""Alert activated  Humedad { Sensor Value: 78.80000305175781 idpinout: 21 idpino: 19 }"""
